ཡིག་ཆ།,"BDRC
Work",,,,,རྩ་བ།,"BDRC
Work",,,,,,,,,,,,,,,,
Pecha Upload List,,,,對讀上傳Pecha工作分配及流程,S.O.P. of Upload file to Pecha,,,,,,,,,,,,,,,,,,
Kumarajive No.,,Data Preparation,Tibetan/Chineses Sutra Name (Short),Tibetan/Chiness Sutra Name (Long),English Sutra Name,Commentary of (Toh number),,Category,Author (Tibetan/Chinese),Author (English),"""Source: URL or site name ",Bo/Zh/Modern ZH,Document link,Pecha no., Pecha Status,Alignment File,Alingment Status,todo KV,todo Drupchen,remark GZ,same segmentation,segmentation of simplified Chinese translation,陳/黃chen & huang remarks
,,裕隆,大乘阿毘達磨集論,大乘阿毘達磨集論,,toh4049,,4.1. 唯識宗阿毗達磨釋論,無著,,CBETA,ZH,https://docs.google.com/document/d/1RmKWyJ7anfUsAZidbpRHGqDdgRL6zr0KBJFdCFB5u9c/edit?usp=drive_link,,Pased,,Alignment Checking,,,,,,
toh4049-tai1605-5,,,ཆོས་མངོན་པ་ཀུན་ལས་བཏུས་པ་བཞུགས་སོ།,ཆོས་མངོན་པ་ཀུན་ལས་བཏུས་པ་བཞུགས་སོ།,The Compendium of Abhidharma,toh4049,WA0RT3393-5,4.1. 唯識宗阿毗達磨釋論,ཐོགས་མེད་,Asaṅga,Esukhia,Bo,https://docs.google.com/document/d/1_Novumqo4AVrNxIt09VLOKbiS7pafwHmVokzsuWCWWI/edit?usp=drive_link,,Pased,,Alignment Checking,,,,,,
,,裕隆,大乘阿毘達磨集論,大乘阿毘達磨集論,,toh4049,,4.1. 唯識宗阿毗達磨釋論,無著,,CBETA,ZH,https://docs.google.com/document/d/1ahUzs3sPCj02l1uM804CTkh7mtymTO0kHOBnPlyn_F0/edit?usp=drive_link,,Pased,,Alignment Checking,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Toh44a-Tai278,,,སངས་རྒྱས་ཕལ་པོ་ཆེ་ཞེས་བྱ་བ་ཤིན་ཏུ་རྒྱས་པ་ཆེན་པོའི་མདོ།,སངས་རྒྱས་ཕལ་པོ་ཆེ་ཞེས་བྱ་བ་ཤིན་ཏུ་རྒྱས་པ་ཆེན་པོའི་མདོ།,The Chapter on Pure Conduct of The Ornaments of All the Lords of the World,toh44,WA0RK0044,1. 經部,སངས་རྒྱས་བཅོམ་ལྡན་འདས།,Buddha Bhagavan,Esukhia,Bo,《大方廣佛華嚴經》〈淨行品〉  toh44a-tai278_bo,I83E829AF - སངས་རྒྱས་ཕལ་པོ་ཆེ་ཞེས་བྱ་བ་ཤིན་ཏུ་རྒྱས་པ་ཆེན་པོའི་མདོ།,fodian.org,,Ready,,,,,,
,,,《華嚴經》〈淨行品〉(佛馱跋陀羅譯),《大方廣佛華嚴經》〈淨行品〉(佛馱跋陀羅譯),,toh44,,1. 經部,佛世尊,,CBETA,ZH,《大方廣佛華嚴經》〈淨行品〉（佛馱跋陀羅譯）toh44a-tai278_zh,I5F8259F8 - 《華嚴經》〈淨行品〉(佛馱跋陀羅譯),fodian.org,,Ready,,,,,,
Toh44a-Tai279,,,སངས་རྒྱས་ཕལ་པོ་ཆེ་ཞེས་བྱ་བ་ཤིན་ཏུ་རྒྱས་པ་ཆེན་པོའི་མདོ།,སངས་རྒྱས་ཕལ་པོ་ཆེ་ཞེས་བྱ་བ་ཤིན་ཏུ་རྒྱས་པ་ཆེན་པོའི་མདོ།,The Chapter on Pure Conduct of The Ornaments of All the Lords of the World,toh44,WA0RK0044,1. 經部,སངས་རྒྱས་བཅོམ་ལྡན་འདས།,Buddha Bhagavan,Esukhia,Bo,《大方廣佛華嚴經》〈淨行品〉  toh44a-tai279_bo,I83E829AF - སངས་རྒྱས་ཕལ་པོ་ཆེ་ཞེས་བྱ་བ་ཤིན་ཏུ་རྒྱས་པ་ཆེན་པོའི་མདོ།,fodian.org,,Alignment Checking,,,,,,
,,,《華嚴經》〈淨行品〉(實叉難陀譯),《大方廣佛華嚴經》〈淨行品〉(實叉難陀譯),,toh44,,1. 經部,佛世尊,,CBETA,ZH,《大方廣佛華嚴經》〈淨行品〉（實叉難陀譯）toh44a-tai279_zh,IA7DF9C3E - 《華嚴經》〈淨行品〉(實叉難陀譯),fodian.org,,Alignment Checking,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
toh555-tai665 ,,,གསེར་འོད་དམ་པའི་མདོ།,འཕགས་པ་གསེར་འོད་དམ་པ་མཆོག་ཏུ་རྣམ་པར་རྒྱལ་བའི་མདོ་སྡེའི་རྒྱལ་པོ་ཐེག་པ་ཆེན་པོའི་མདོ།,The Sūtra of the Sublime Golden Light,toh555,WA0RK0550,1. 經部,སངས་རྒྱས་བཅོམ་ལྡན་འདས།,Buddha Bhagavan,Esukhia,Bo,《金光明最勝王經 》toh555-tai665_bo,ID9A34399 - གསེར་འོད་དམ་པའི་མདོ།,fodian.org,,Alignment Checking,,,,,,
